Time,xPos,yPos,zPos,u,w,q,theta,Elevator Angle
2.716346025,-8.275979089,-0.039600739,1.494012782,0.041219554,0.043889298,0.282189533,0.090957406,6.925652971
2.724607944,-8.276176755,-0.038851813,1.494267805,0.051313252,0.039090433,0.256945448,0.093098618,6.865877022
2.733072042,-8.276383889,-0.038076899,1.494526764,0.062893477,0.046172749,0.305885203,0.095647661,7.249099569
2.74131608,-8.276639994,-0.037405116,1.494813563,0.075534346,0.037369538,0.244569077,0.097685737,6.964387073
2.749710083,-8.276915078,-0.036775601,1.495069187,0.086667177,0.036667397,0.24407526,0.099719697,7.035254218
2.758193016,-8.277184167,-0.036120423,1.495345684,0.094710283,0.039692565,0.281073739,0.102061979,7.354207217
2.766566992,-8.277543032,-0.035518225,1.495581639,0.109042385,0.04435093,0.311465842,0.104657527,7.621543724
2.775676012,-8.2779337,-0.03493872,1.495840752,0.118758713,0.039624575,0.294555969,0.10711216,7.630656286
2.783086061,-8.278348038,-0.034301037,1.496051009,0.133190887,0.041285601,0.280598432,0.109450481,7.626170675
2.791456938,-8.278786871,-0.033676844,1.496300528,0.146374027,0.039695327,0.270612046,0.111705581,7.64664177
2.799704075,-8.279233759,-0.033122475,1.496560987,0.150207251,0.032885026,0.281585826,0.11405213,7.837904911
2.807927132,-8.2796365,-0.032572397,1.496800638,0.160064743,0.034893109,0.382359875,0.117238462,8.570004065
2.816583157,-8.280001899,-0.032012922,1.497060584,0.172424046,0.037334125,0.449741007,0.120986304,9.131096455
2.824978113,-8.280368653,-0.031457773,1.497319498,0.17800147,0.030562533,0.479430705,0.124981559,9.522665555
2.833117962,-8.280703383,-0.030976048,1.497570087,0.190008734,0.03282713,0.5798777,0.129813874,10.34259522
2.841700077,-8.281020888,-0.030444533,1.497875148,0.202291951,0.028442488,0.561463386,0.134492735,10.46573474
2.849918127,-8.281342719,-0.029880624,1.498189185,0.210635852,0.024445118,0.598840657,0.139483074,10.94847814
2.858246088,-8.281601568,-0.029364083,1.498480391,0.219623847,0.016101348,0.604160888,0.144517748,11.24705707
2.866426945,-8.281820557,-0.028901922,1.498832578,0.23400294,0.012445294,0.563863314,0.149216609,11.23490575
2.874725103,-8.28204861,-0.028348237,1.49917058,0.246086484,0.008296416,0.576155846,0.154017908,11.54426846
2.883155107,-8.282211597,-0.027829893,1.499615542,0.256230757,-0.004048617,0.566960973,0.158742582,11.73658313
2.891639948,-8.282332237,-0.027394603,1.500041778,0.269183024,-0.000288834,0.645376911,0.164120723,12.45688047
2.899784088,-8.282408926,-0.026910705,1.50042766,0.279234105,-0.008589382,0.670505091,0.169708266,12.89895727
2.908306122,-8.282374854,-0.026379019,1.500790436,0.291944281,-0.01744578,0.642569668,0.175063013,13.00774898
2.916276932,-8.282289131,-0.025875731,1.501139756,0.306260005,-0.022005406,0.635208152,0.180356414,13.22314029
2.924775124,-8.28215387,-0.025439191,1.501535763,0.321950322,-0.032697719,0.577445217,0.185168458,13.11380116
2.933000088,-8.281957883,-0.024956859,1.501894552,0.333438281,-0.045519312,0.592436655,0.19010543,13.45342173
2.941487074,-8.281649028,-0.024428078,1.502289985,0.351355609,-0.046926242,0.622888864,0.19529617,13.86452687
2.949669123,-8.281253552,-0.023974454,1.50265408,0.372539039,-0.056960242,0.62447305,0.200500113,14.0983151
2.958058119,-8.280768582,-0.02358409,1.503087148,0.390445688,-0.068891745,0.635947697,0.205799677,14.41058224
2.966439962,-8.280172502,-0.023072908,1.503458467,0.420110819,-0.074810544,0.619956779,0.210965983,14.50078631
2.974761009,-8.279484284,-0.022546472,1.503834412,0.447578748,-0.086798904,0.535676373,0.215429953,14.16501022
2.983368158,-8.278732839,-0.022101495,1.504243875,0.477787689,-0.108552384,0.465305102,0.219307495,13.86657647
2.991779089,-8.277867735,-0.021676537,1.504706371,0.513926154,-0.115334259,0.529134419,0.223716949,14.34558024
2.999789,-8.276919052,-0.021159549,1.505140485,0.544834537,-0.132089344,0.548292965,0.228286057,14.6027434
3.008074999,-8.27585335,-0.020706049,1.505603712,0.586792146,-0.14279607,0.513032184,0.232561325,14.47499165
3.016541004,-8.274678044,-0.020310462,1.506068419,0.626693683,-0.162347273,0.479363599,0.236556022,14.35250251
3.024915934,-8.273465636,-0.019900128,1.506483133,0.678014547,-0.166455284,0.540247244,0.241058082,14.7515236
3.033117056,-8.272174932,-0.019502977,1.506927936,0.731692785,-0.18952448,0.381563358,0.244237777,13.79538684
3.041511059,-8.270786118,-0.019147607,1.507410197,0.788395074,-0.201634816,0.428987991,0.247812677,14.04001267
3.049761057,-8.269346091,-0.018799451,1.507847807,0.852934282,-0.215392921,0.430445444,0.251399722,13.98480194
3.057971001,-8.267811419,-0.018502912,1.508324035,0.925882436,-0.229641017,0.361935098,0.254415848,13.452349
3.067085981,-8.266172658,-0.018269137,1.508784956,1.004295997,-0.243504989,0.322151303,0.257100442,13.04204208
