Time,xPos,yPos,zPos,xVel,yVel,zVel,pitch,roll,yaw,pitchVel,rollVel,yawVel,elevAngle
3.16726613,-0.867931599,-0.063643969,1.463142024,0.001265346,-0.003548773,0.002036824,0.116414369,0.013201862,1.55699349,0.003851367,-0.025821364,-0.006980976,-8.754003348
3.176414013,-0.867872699,-0.063656993,1.46314665,0.007068067,-0.001562824,0.000555147,0.116380801,0.013009453,1.55697948,-0.004028118,-0.023089085,-0.001681199,-8.766810023
3.184614182,-0.867832214,-0.063681101,1.463161407,0.004858153,-0.002893058,0.001770805,0.116481874,0.012782907,1.556974312,0.012128818,-0.027185569,-0.000620233,-8.771388163
3.191913128,-0.867821813,-0.063682302,1.463170361,0.001248103,-0.000144102,0.001074468,0.116527523,0.012640776,1.55697225,0.005477831,-0.017055767,-0.000247438,-8.778784166
3.200816154,-0.867755979,-0.063676844,1.463150829,0.007900157,0.000654952,-0.00234376,0.116445551,0.012176073,1.557141424,-0.009836637,-0.055764303,0.020300931,-8.789447671
3.208964109,-0.867709134,-0.063640255,1.463122237,0.00562134,0.004390722,-0.003431088,0.116310534,0.011913363,1.557297119,-0.016202017,-0.031525195,0.018683352,-8.800011448
3.218418121,-0.867666391,-0.063554884,1.463110696,0.00512917,0.010244575,-0.001384922,0.116188774,0.011928757,1.557368867,-0.014611286,0.001847291,0.008609801,-8.813046385
3.225450993,-0.867593361,-0.063481247,1.463088858,0.008763677,0.008836436,-0.0026206,0.116084283,0.011572428,1.557471627,-0.012538891,-0.042759554,0.012331201,-8.825972796
3.234246969,-0.867533432,-0.063396873,1.463057446,0.007191456,0.01012488,-0.003769343,0.115964186,0.011482242,1.557485723,-0.014411654,-0.010822335,0.001691507,-8.832074292
3.243011951,-0.867495811,-0.06332239,1.463042972,0.004514475,0.00893795,-0.001736873,0.115910877,0.011353142,1.557368012,-0.006397009,-0.015491913,-0.014125252,-8.841897059
3.250578165,-0.867418983,-0.063227312,1.463019042,0.009219424,0.011409315,-0.002871706,0.115919589,0.011251218,1.557176909,0.001045369,-0.012230909,-0.022932452,-8.855671597
3.259119987,-0.867374849,-0.063156596,1.463008799,0.005296051,0.00848598,-0.001229118,0.115973871,0.01103225,1.556869826,0.006513929,-0.026276135,-0.036849966,-8.858194515
3.267275095,-0.86734409,-0.063045178,1.463025955,0.00369108,0.013370139,0.002058745,0.116178341,0.011097031,1.556456409,0.024536313,0.007773709,-0.049609985,-8.865793252
3.276344061,-0.867272835,-0.062925953,1.463020962,0.008550548,0.014307023,-0.000599193,0.116300646,0.011050981,1.556024698,0.014676665,-0.005526074,-0.051805375,-8.876274567
3.283854961,-0.867234879,-0.062798511,1.463041809,0.004554754,0.015292955,0.00250165,0.116502045,0.011335732,1.555467281,0.02416785,0.034170141,-0.066889995,-8.876826271
3.292694092,-0.867215181,-0.06264225,1.463074323,0.002363771,0.018751341,0.003901653,0.116616186,0.011652301,1.554839383,0.013696973,0.037988341,-0.075347776,-8.88032627
3.300774097,-0.867155147,-0.062491908,1.463082797,0.007204059,0.018041081,0.001016896,0.116662768,0.01200022,1.554190083,0.005589809,0.041750264,-0.077915984,-8.885917837
3.308715105,-0.867140576,-0.062372794,1.463133536,0.00174848,0.014293666,0.006088749,0.116927792,0.012457899,1.553498331,0.03180289,0.054921521,-0.083010283,-8.885354553
3.317203045,-0.867126188,-0.0622383,1.463154497,0.001726666,0.016139259,0.002515281,0.116964913,0.012796328,1.55274236,0.004454538,0.040611423,-0.090716473,-8.886294123
3.325790167,-0.867074143,-0.062114989,1.463198603,0.006245356,0.014797322,0.005292698,0.117156861,0.013240762,1.55211757,0.023033725,0.053332119,-0.074974754,-8.888365821
3.334244013,-0.867072934,-0.062029607,1.463231159,0.000145038,0.010245849,0.003906754,0.117290762,0.013510712,1.551465977,0.016068124,0.032393986,-0.078191235,-8.880572455
3.342154026,-0.867061012,-0.061927269,1.46327632,0.001430609,0.012280573,0.005419288,0.117399236,0.01383449,1.550895225,0.013016803,0.038853364,-0.068490158,-8.8875044
3.350558996,-0.867029074,-0.061841113,1.463310914,0.003832601,0.010338706,0.004151304,0.117475962,0.013882952,1.550393666,0.009207133,0.005815363,-0.060187117,-8.889875635
3.359120131,-0.867037379,-0.061774598,1.46334944,-0.000996538,0.007981806,0.004623127,0.117532939,0.014016596,1.549920009,0.006837335,0.016037388,-0.056838857,-8.885412265
3.367041111,-0.867051393,-0.06170594,1.463410564,-0.001681776,0.008238915,0.007334801,0.117683267,0.014142812,1.549563477,0.018039271,0.015145874,-0.042783848,-8.890183785
3.375496149,-0.867038167,-0.061653873,1.463453902,0.001587166,0.006248023,0.005200565,0.117787645,0.014210314,1.549294394,0.012525413,0.008100252,-0.032289921,-8.889752543
3.383795977,-0.867077211,-0.061636614,1.463489473,-0.00468529,0.002071094,0.004268623,0.11789538,0.014058181,1.549110029,0.012928198,-0.018256032,-0.022123798,-8.883139515
3.39342618,-0.867117335,-0.061614869,1.463546064,-0.004814855,0.002609489,0.006790811,0.118001369,0.013943441,1.549029968,0.012718633,-0.013768731,-0.009607398,-8.886353442
3.401977062,-0.86713256,-0.061596062,1.463598641,-0.001826978,0.002256762,0.006309279,0.118192168,0.01370747,1.549090474,0.02289596,-0.028316584,0.007260779,-8.884207197
3.409176111,-0.867201822,-0.061592317,1.463653495,-0.008311493,0.000449409,0.006582536,0.118527115,0.013460473,1.549144477,0.040193566,-0.02963958,0.006480336,-8.879539022
3.417210102,-0.867255914,-0.061564527,1.463713155,-0.006490989,0.003334801,0.007159126,0.118782931,0.013092174,1.549193288,0.030697969,-0.044195923,0.005857315,-8.88021505
3.425402164,-0.867285443,-0.061523278,1.463783981,-0.003543523,0.004949848,0.008499215,0.119150163,0.012844977,1.549250822,0.044067877,-0.029663589,0.006904106,-8.883380363
