Time,xPos,yPos,zPos,xVel,yVel,zVel,ptich,roll,yaw,pitchVel,rollVel,yawVel,elevAngle
2.133383989,-1.470173025,-0.10639062,1.421495701,0.044336519,0.005684857,0.011527295,0.068379432,0.081187471,1.566124316,-0.078325122,-0.060653411,0.071864412,-3.174494701
2.14178586,-1.469821523,-0.106348036,1.421593746,0.042180237,0.005110086,0.011765468,0.0676592,0.08075409,1.566709532,-0.086427812,-0.052005709,0.070225861,-3.170048031
2.149931908,-1.469442063,-0.106313691,1.421688928,0.045535184,0.004121388,0.011421825,0.066985809,0.080299858,1.567303963,-0.08080688,-0.054507817,0.071331737,-3.17384613
2.15830493,-1.469078359,-0.106275072,1.421799084,0.043644506,0.004634222,0.013218681,0.066353619,0.079986624,1.567769164,-0.075862798,-0.037588098,0.055824117,-3.18228002
2.166857958,-1.468727043,-0.10626008,1.421900269,0.042157963,0.001799118,0.012142139,0.065726234,0.079566167,1.568241815,-0.0752862,-0.050454802,0.056718147,-3.185876198
2.175104856,-1.468367178,-0.106216949,1.421988894,0.043183714,0.005175706,0.010635023,0.06519543,0.079053148,1.568747256,-0.063696563,-0.061562357,0.060652867,-3.179676646
2.183443069,-1.46801834,-0.106181035,1.422085522,0.041860648,0.004309627,0.011595375,0.064759635,0.07866252,1.569091113,-0.052295339,-0.046875248,0.041262943,-3.193479799
2.191668987,-1.46767944,-0.106161377,1.422132091,0.04066797,0.002359008,0.005588288,0.064156798,0.078068295,1.56964362,-0.072340424,-0.071307034,0.066300758,-3.191497276
2.200505972,-1.467313962,-0.106107917,1.422162881,0.043857366,0.006415158,0.003694799,0.063504722,0.07753521,1.570024763,-0.078249207,-0.063970161,0.045737174,-3.197498311
2.208337069,-1.466995016,-0.10605661,1.422218023,0.038273563,0.006156832,0.006617092,0.062923745,0.077146179,1.570439299,-0.06971726,-0.046683756,0.049744333,-3.205166411
2.217002869,-1.466685907,-0.106007081,1.422267617,0.037093017,0.005943478,0.005951185,0.062191331,0.076747911,1.570947717,-0.087889621,-0.047792228,0.061010146,-3.207008444
2.225697994,-1.466379028,-0.105967739,1.422322305,0.036825541,0.004721079,0.006562601,0.061721377,0.076504821,1.571442404,-0.056394442,-0.029170705,0.059362416,-3.220733448
2.233293056,-1.466090365,-0.105921105,1.42235205,0.034639521,0.005596071,0.003569438,0.061132863,0.07604471,1.571883337,-0.070621765,-0.055213323,0.052912003,-3.213021713
2.241596937,-1.465815601,-0.105865331,1.42237787,0.032971693,0.00669285,0.003098397,0.060704948,0.075562104,1.572375427,-0.051349734,-0.05791276,0.059050793,-3.225027415
2.251206875,-1.465557767,-0.105814502,1.422417436,0.030940089,0.006099469,0.004747868,0.060403578,0.075138462,1.572897113,-0.03616443,-0.050837038,0.062602263,-3.248070245
2.258607864,-1.465338084,-0.105773312,1.422446271,0.026361885,0.004942877,0.0034602,0.060139435,0.074656537,1.573525892,-0.031697212,-0.057831037,0.075453566,-3.245867495
2.266820908,-1.465112793,-0.105710709,1.42246724,0.027035005,0.007512269,0.00251629,0.059812569,0.074227508,1.574218277,-0.039223918,-0.051483472,0.083086196,-3.246828747
2.275102854,-1.464896163,-0.105658101,1.422500032,0.02599552,0.006313065,0.003935064,0.059665764,0.073946623,1.574921857,-0.017616528,-0.033706179,0.084429602,-3.25058004
2.284031868,-1.464689627,-0.105590594,1.422540481,0.024784399,0.008100839,0.004853885,0.059623772,0.073688108,1.575648048,-0.005039065,-0.031021805,0.087142931,-3.259202727
2.29184103,-1.464478265,-0.105535151,1.422558145,0.025363345,0.006653127,0.002119616,0.059628537,0.073467936,1.57636816,0.000571861,-0.026420671,0.086413458,-3.255453938
2.301161051,-1.464294362,-0.105481394,1.422587414,0.022068432,0.00645085,0.00351233,0.060024904,0.073409001,1.57730146,0.04756401,-0.007072171,0.111995925,-3.260097895
2.308594942,-1.464130516,-0.105460036,1.422635059,0.019661499,0.002562921,0.005717392,0.060120109,0.073499678,1.578349332,0.011424607,0.010881202,0.125744663,-3.251438481
2.317415953,-1.46396793,-0.105435321,1.422668771,0.019510345,0.002965805,0.004045428,0.060081643,0.073412915,1.579341979,-0.004615967,-0.010411497,0.119117644,-3.2394505
2.324898005,-1.463847721,-0.10540111,1.42268751,0.01442502,0.004105306,0.002248673,0.060243473,0.073172993,1.580346889,0.019419635,-0.028790675,0.120589153,-3.232046281
2.333554029,-1.463743298,-0.105416249,1.422712004,0.012530852,-0.001816723,0.00293936,0.060169569,0.07306442,1.581747292,-0.008868439,-0.01302875,0.168048346,-3.219305791
2.342423916,-1.463643331,-0.105386001,1.422723723,0.011995933,0.003629766,0.001406279,0.060301269,0.072767464,1.583247929,0.015803927,-0.03563477,0.180076475,-3.197065088
2.350898981,-1.463571656,-0.105334827,1.422753415,0.008601059,0.006140915,0.003563004,0.060805892,0.072585898,1.58467258,0.060554724,-0.021787874,0.170958094,-3.162170491
2.359309912,-1.463485162,-0.105278647,1.422789027,0.010379312,0.006741638,0.004273435,0.061208449,0.07267331,1.586237844,0.048306902,0.010489469,0.18783175,-3.140606762
2.366828918,-1.463379495,-0.105238577,1.422824576,0.01268003,0.004808383,0.004265819,0.061726315,0.072969346,1.588129321,0.062143939,0.035524307,0.226977259,-3.11408337
2.374891043,-1.463291575,-0.105171613,1.422825038,0.010550415,0.008035698,5.55E-05,0.062211873,0.073174605,1.589764896,0.058266976,0.024631089,0.196268927,-3.063747941
2.383610964,-1.463160747,-0.105054171,1.422858727,0.015699364,0.014093057,0.004042753,0.062607442,0.073631104,1.591594613,0.047468231,0.054779924,0.219566073,-3.035268725
2.391705036,-1.462995045,-0.104988915,1.422879446,0.019884158,0.007830669,0.002486278,0.06313264,0.074186546,1.59336624,0.063023804,0.066652929,0.212595217,-2.989807167
2.400429964,-1.462822549,-0.104859341,1.422896642,0.020699599,0.015548885,0.002063451,0.06341271,0.07445045,1.595025857,0.033608329,0.031668576,0.199154069,-2.948690133
2.408360958,-1.462632373,-0.104718813,1.422927004,0.022821057,0.016863425,0.003643471,0.063675254,0.074859175,1.596686466,0.031505288,0.049046907,0.199273082,-2.904198236
2.416501045,-1.462423826,-0.104587178,1.422951156,0.025025633,0.015796155,0.002898288,0.063946454,0.075445561,1.598057269,0.032543984,0.070366325,0.164496334,-2.853499402
2.425225019,-1.462213232,-0.104479718,1.422994464,0.025271263,0.012895158,0.005196906,0.06401725,0.076222247,1.599382611,0.008495525,0.093202362,0.159041066,-2.794327558
2.433651924,-1.461964224,-0.104321825,1.422996552,0.029881052,0.01894724,0.000250588,0.06392024,0.076852442,1.600326426,-0.01164115,0.075623434,0.113257824,-2.712863769
2.441774845,-1.461713714,-0.104141164,1.423037155,0.030061187,0.021679259,0.004872362,0.063981159,0.077793968,1.601039602,0.007310257,0.112983051,0.08558112,-2.652837409
2.450330973,-1.461460391,-0.104015767,1.423128932,0.030398742,0.015047598,0.011013166,0.064137665,0.079130859,1.601833583,0.018780717,0.160426998,0.095277634,-2.589681723
2.458412886,-1.461177025,-0.103877353,1.423184572,0.034003872,0.016609694,0.006676861,0.064352239,0.080465311,1.602351921,0.025748909,0.160134245,0.062200661,-2.529782225
2.467248917,-1.460912192,-0.103746959,1.423223601,0.031779971,0.015647345,0.004683457,0.064652211,0.081644333,1.602663998,0.035996618,0.14148263,0.037449223,-2.491335203
2.475162029,-1.460618009,-0.103594078,1.423252149,0.035301998,0.018345744,0.003425771,0.064786693,0.082710697,1.602887947,0.016137814,0.127963634,0.026873855,-2.430071314
2.484003067,-1.460302553,-0.103448016,1.423291208,0.03785474,0.017527433,0.004687099,0.064845588,0.083620843,1.603190368,0.007067407,0.109217484,0.036290462,-2.368115352
2.492401838,-1.459996364,-0.103296669,1.423299858,0.03674264,0.018161579,0.001037999,0.064768439,0.0842605,1.603320977,-0.009257893,0.076758944,0.015673164,-2.3417226
2.500166893,-1.459698786,-0.103153933,1.423319462,0.035709303,0.017128334,0.002352395,0.064731036,0.084719873,1.603257327,-0.004488344,0.05512476,-0.00763805,-2.31504117
2.508368969,-1.459368159,-0.103013567,1.423301672,0.039675324,0.016843932,-0.002134754,0.064460076,0.084890591,1.603112417,-0.032515175,0.020486154,-0.017389157,-2.270338008
2.517138958,-1.459057911,-0.10292931,1.423254871,0.037229686,0.010110817,-0.005616072,0.064098877,0.08466005,1.602971581,-0.043343918,-0.027664942,-0.016900395,-2.236105457
2.525284052,-1.458731398,-0.102826287,1.423217016,0.039181575,0.012362824,-0.004542688,0.063968969,0.084174383,1.602627085,-0.015588962,-0.058280042,-0.041339428,-2.212605028
2.533458948,-1.458368795,-0.102687393,1.423157086,0.043512373,0.016667262,-0.007191587,0.063731355,0.083292836,1.602180085,-0.028513674,-0.105785708,-0.053640061,-2.204578908
